name,area,address,cost,timings,rating,cuisines,contact,highlights
Vapour Cafe Lounge,Jubilee Hills,"5th Floor, Apurupa PCH,Near Jubilee Hills Check Post, Jubilee Hills, Hyderabad",₹700,12 Noon to 2:30 AM,2.7,"Chinese, Cafe, Continental, Italian",040 32919444,"Outdoor Seating, Smoking Area, Live Sports Screening, Valet Parking Available, Wifi"
Gravity Bistro,Banjara Hills,"309, Road 14, BNR Colony, Opposite Asha Hospital, Banjara Hills, Hyderabad",₹700,"11:30 AM to 3 PM, 5 PM to 10:30 PM (Mon-Fri), 10 AM to 3 PM, 5 PM to 10:30 PM (Sat), 9:15 AM to 3 PM, 5 PM to 10:30 PM (Sun)",3.8,"North Indian, Chinese, Italian, Charcoal Grill","+91 7799338981, +91 8801949305","Live Music, Free Parking, Outdoor Seating, Private Dining Area Available, Wifi, Valet Parking Available, Smoking Area, Zomato Fulfilled Delivery, Live Sports Screening"
Shade Multicuisine Restaurant,Amberpet,"2-2-3/4 A, 1st Floor, Opposite ATI, Shivam Road, Amberpet, Hyderabad",₹700,11 AM to 12 Midnight,3.6,"North Indian, Chinese",040 64631415,
Oyster Lounge,Jubilee Hills,"Beside Chiranjeevi Blood Bank, Road 1, Jubilee Hills, Hyderabad",₹800,7 AM to 10:30 PM,3.5,"Cafe, Chinese",+91 8008000369,"Outdoor Seating, Smoking Area, Zomato Fulfilled Delivery, Valet Parking Available, Wifi, Live Sports Screening"
Abhiruchi Restaurant,Madhapur,"1st Floor, Srishti Towers, Opposite Karachi Bakery, Image Garden Road, Madhapur, Hyderabad",₹250,"12 Noon to 4 PM, 7 PM to 11 PM",3.7,"Andhra, North Indian, Chinese","040 40071111, 040 40071122",
Dadu's Mithai Vatika,Himayath Nagar,"Diamond House, Liberty Road, Himayath Nagar, Hyderabad",₹450,10 AM to 12:30 AM,3.9,"Mithai, Street Food, Bakery","040 23428701, 040 23227125",Desserts and Bakes
Bawarchi Mughal Restaurant,Lingampally,"Shop 22 - 90, Laxmi Commercial Complex, Near Sai Ram Tiffins, BHEL Crossroads, Lingampally, Hyderabad",₹400,11 AM to 10 PM,3.5,"Hyderabadi, North Indian, Chinese",040 65744575,
Punjabi Bhatti,Gachibowli,"HMI Tower, Opposite Ram Ki Tower, Near Radisson Hotel, Gachibowli, Hyderabad",₹300,7:30 AM to 10:30 PM,3.9,"North Indian, Chinese",+91 9676023676,
Havmor Hotch Potch - Cold Stone Ice Cream,PG Road,"Shop 12, Ground Floor, Paradise Complex, Adjacent to Sunshine Hospital, PG Road, Secunderabad",₹500,6 AM to 2 AM,3.5,"Desserts, Ice Cream",040 42009000,"Outdoor Seating, Wifi, Desserts and Bakes"
Kinghorn Bakers Chariot,Habsiguda,"Ground Floor, Bhupathy Chambers, Habsiguda, Hyderabad",₹800,2 PM to 10:30 PM,3.7,"Bakery, Desserts","040 27150097, 040 27158838",Desserts and Bakes
Hotel Megha City,Basheer Bagh,"Basheerbagh Crossroads, Basheer Bagh, Hyderabad",₹500,11 AM to 11 PM,2.6,"North Indian, Chinese","040 23226267, 040 23220264",Valet Parking Available
Cafe +,Sainikpuri,"143, Eshwarpuri Colony, Hi-Tension Road, Kapra, Sainikpuri, Secunderabad",₹800,11 AM to 3 AM,2.2,"Cafe, Continental","+91 7093135830, +91 8801263711","Outdoor Seating, Smoking Area, Wifi"
Oh Bean Der,Banjara Hills,"No.8-2-293/82/L, MLA Colony, Road Number 12, Banjara Hills, Hyderabad",₹400,"11 AM to 3 PM, 7 PM to 11 PM",3.5,"South Indian, North Indian, Chinese, Fast Food",040 23420583,Valet Parking Available
Hot Bitez,Gachibowli,"Opposite Jayabheri Kaman, Above Keshav Reddy Sweets, Gachibowli, Hyderabad","₹1,300",11 AM to 11 PM,3.8,Fast Food,040 65222324,Wifi
Condoss - W3,Film Nagar,"A-3, 3rd Floor, Opposite CVR News, Film Nagar, Hyderabad",₹750,11 AM to 11 PM,3.3,"Continental, Chinese",+91 7095083333,"Live Sports Screening, Free Parking, Outdoor Seating, Smoking Area, Celebrity Frequented, Nightlife, Rooftop, Valet Parking Available, Drinking Age Applicable, Wifi"
Viva Italia,Banjara Hills,"Plot 8-9, Beside Angasutra Boutique, Achyutya Cooperative Society, Road 10, Banjara Hills, Hyderabad",₹350,11 AM to 12 Midnight,3.8,"Italian, Fast Food","+91 9642700420, +91 9966406750",
Swaad Cafe,Madhapur,"Opposite Indian Overseas Bank, Arunodaya Colony Madhapur, Madhapur, Hyderabad",₹350,6 PM to 3 AM,3.5,"Fast Food, North Indian","+91 9014266166, +91 8099663826",Outdoor Seating
Oh So Stoned!,Sainikpuri,"Vayupuri 1st Cross Road, Sainikpuri, Secunderabad","₹1,100",11 AM to 11 PM,1.8,"Ice Cream, Desserts",+91 7680075541,"Wifi, Outdoor Seating, Desserts and Bakes"
The Garden Cafe,Film Nagar,"Inside Apollo Campus, Film Nagar, Hyderabad","₹1,000",9 AM to 1 AM,2.7,"Cafe, Continental, Healthy Food","+91 9640895650, 040 65133555","Wifi, Outdoor Seating, All Day Breakfast"
Southern Mirchi,Panjagutta,"Plot 76, Nagarjuna Hills, Panjagutta, Hyderabad",₹200,11 AM to 11 PM,2.6,"North Indian, Andhra, Chinese","040 66664747, +91 9959757474",
Sri Narsing Bhelpuri & Juice Centre,Abids,"Needs Arcade, Opposite Mahavir House, Tilak Road, Bogulkunta, Abids, Hyderabad",₹450,11 AM to 11 PM,4.0,"Street Food, Fast Food","040 65223344, +91 8885812777",Outdoor Seating
Red Rooster,Tarnaka,"Opposite Ista Showroom, Street 1, Tarnaka, Hyderabad",₹700,12 Noon to 11 PM,3.6,"Pizza, Chinese",040 65229333,
Woodland Deluxe Restaurant - Hotel Aarti,Himayath Nagar,"Hotel Aarti, 3-6-238/C, Himayath Nagar, Hyderabad",₹450,10 AM to 11 PM,4.0,"North Indian, South Indian, Chinese","040 23227731, 040 23225014",
Khau Gali,Banjara Hills,"Shop 2, Beside Annapurna Studio Lane, KBR Park Road, Road 2, Banjara Hills, Hyderabad",₹300,12 Noon to 12 Midnight,3.6,"North Indian, Chinese","+91 9963567892, +91 8374523696",Zomato Fulfilled Delivery
Pakodi Factory,Madhapur,"Opposite Midland Bakery, Near YSR Statue, Ayyappa Society, Madhapur, Hyderabad",₹450,10 AM to 11 PM,2.8,Street Food,"040 68888441, +91 9985944000",Outdoor Seating
Amaravathi Restaurant & Bar,Nagole,"Opposite Reliance Restaurant & Bar, Nagole, Hyderabad",₹700,8 AM to 11 PM,2.6,"North Indian, Mughlai, Chinese, Andhra","040 65227575, 040 65227676",Outdoor Seating
Little Devil Coffee Lounge,Banjara Hills,"8-2-120/86/9/A/22, 2nd Floor,Rao & Rao Colony, Road 2, Lucid Hospital Lane, Banjara Hills, Hyderabad","₹1,000","12 Noon to 3 PM, 6:30 PM to 10 PM",3.5,"Cafe, Chinese, Italian","040 64642414, +91 9000991773","Smoking Area, Live Sports Screening, Outdoor Seating, Wifi"
Haiking Chinese Restaurant,Jubilee Hills,"4th Floor, Opposite Natures Basket, Road 36, Jubilee Hills, Hyderabad",₹250,9:30 AM to 10:30 PM,3.7,Chinese,"040 65550582, 040 23550352","Valet Parking Available, Wifi"
Wich Please,Gachibowli,"DLF Lane, Opposite Gate 3, Gachibowli, Hyderabad",₹700,12 Noon to 1 AM,2.7,Fast Food,"+91 8019752780, +91 9393847747",
Sweet Heart,Bowenpally,"Plot 59, Chinna Thokatta, New Bowenpally, Bowenpally, Secunderabad",₹600,"10:30 AM to 3:30 PM, 4 PM to 11 PM",3.3,"North Indian, Chinese, Biryani, Seafood",040 33165716,
Mad About China,Hitech City,"4th Floor, Food Court, Inorbit Mall, Hitech City, Hyderabad",₹800,11 AM to 11 PM,3.9,Chinese,+91 9935201779,Wifi
Nawabi Zaiqa,Lakdikapul,"Opposite HP Petrol Pump, Lakdikapul, Hyderabad",₹500,6 PM to 1 AM,3.5,"Mughlai, North Indian, Chinese","040 60502055, +91 9949455566",
Grill Citi,Gachibowli,"F5 Drive In, Plot 1 & 2, Survey 134, Opposite SLN Terminus, Gachibowli, Hyderabad",₹200,8 AM to 11 PM,2.4,"Lebanese, North Indian","040 40137787, +91 9949882933","Outdoor Seating, Wifi"
Just Parantha,Banjara Hills,"Banjara Plaza, Road 12, Banjara Hills, Hyderabad",₹800,12 Noon to 11 PM,3.4,North Indian,"+91 8121868774, +91 8121868775",Outdoor Seating
Cafe Cubano,Banjara Hills,"8/2/584, Mahmood Habib Plaza, Opposite St Alphonsus School, Road 9, Banjara Hills, Hyderabad",₹200,3:30 PM to 10:30 PM,3.8,Cafe,"+91 9985551241, +91 9703788007","Outdoor Seating, Smoking Area, Wifi, Live Sports Screening"
International Juice Centre,Mehdipatnam,"Mehdipatnam Circle, Mehdipatnam, Hyderabad",₹250,11 AM to 11 PM,3.5,Juices,040 23521763,
Ibaco,A S Rao Nagar,"1-18-3/B1/B2, Swamik Nagar, Kapra Village, Rangareddy District, A S Rao Nagar, Secunderabad",₹600,"12:30 PM to 11 PM (Mon-Tue, Thu-Sun), Wed Closed",2.8,"Ice Cream, Desserts",+91 9948135800,"Desserts and Bakes, No Parking Available"
Golconda Chefs,Madhapur,"1209, Ayyappa Society Main Road, Madhapur, Hyderabad",₹650,12 Noon to 10:30 PM,3.8,"North Indian, Biryani, Chinese, Andhra","+91 9700624555, 040 40186555","Free Parking, Vegetarian Friendly, Live Sports Screening, Wifi"
Deja Vu - The Cafe Lounge,Banjara Hills,"8-2-269/A/3, Beside Brand Factory Lane, Road 2, Banjara Hills, Hyderabad",₹800,24 Hours,3.3,"Cafe, Chinese","+91 9959061461, +91 9701217464","Wifi, Outdoor Seating, Smoking Area, Zomato Fulfilled Delivery"
Chaitanya's,Kothaguda,"1st Floor, Ektha Pearl, Above Ratnadeep Supermarket, Kothaguda, Hyderabad",₹400,"6 AM to 12 Noon, 6 PM to 10 PM",3.6,"South Indian, North Indian, Continental, Chinese",040 33194193,"Smoking Area, Buffet, Nightlife, Private Dining Area Available, Wifi, Live Sports Screening, Live Music, Valet Parking Available"
Donut House,Banjara Hills,"3rd Floor, GVK One, Road 1, Banjara Hills, Hyderabad",₹400,"11:30 AM to 3:30 PM, 7:30 PM to 11:30 PM",3.9,Desserts,Not Available,Desserts and Bakes
Mexican Grill Subs,Jubilee Hills,"Beside Apollo Expert , Road 45, Jubilee Hills, Hyderabad",₹350,"12 Noon to 3:30 PM, 7 PM to 10:30 PM (Mon-Fri), 7 AM to 3:30 PM, 7 PM to 10:30 PM (Sat-Sun)",3.4,"American, Fast Food",040 64500009,"Outdoor Seating, Zomato Fulfilled Delivery, Wifi"
Bookmythali,Chanda Nagar,"G 1/D, Rakesh Residency, Madhapuri Hills, PJR Enclave, Gangaram, Chanda Nagar, Hyderabad",₹200,7 AM to 11 PM,3.8,North Indian,"040 40064002, 040 40064003",
Cake Bank,Himayath Nagar,"3-6-237, Lingapur Complex, Himayath Nagar, Hyderabad","₹1,600",10:30 AM to 10:30 PM,3.6,"Bakery, Desserts, Fast Food","040 23223722, 040 64603722",Desserts and Bakes
Aqua Spirit - Hotel Daspalla,Jubilee Hills,"Hotel Daspalla, Road 37, Jubilee Hills, Hyderabad",₹650,"11:30 AM to 3:30 PM, 7 PM to 11:45 PM",3.6,"Chinese, Thai, North Indian, Italian",040 33165236,"Wifi, Nightlife, Valet Parking Available, Buffet"
Shakahari Vegetarian Restaurant,Sainikpuri,"1st Floor, Opposite Bharat Petrol Pump, Above Gilma Showroom, Sainikpuri, Secunderabad",₹700,7 AM to 11 PM,3.7,"North Indian, Chinese","040 42416222, +91 7799700800",
Hotel Vaibhav,Karkhana,"Arun Prakash Arcade, Opposite Karkhana Police Station, Karkhana, Secunderabad",₹200,11 AM to 2:30 AM,2.5,"South Indian, North Indian, Chinese","040 46311123, +91 7331150823","Kid Friendly, Smoking Area, Wifi, Valet Parking Available"
Dosa Gaadi,Hitech City,"Opposite Shilparamam, Hitech City, Hyderabad",₹650,8 AM to 11 PM,3.5,South Indian,"+91 7095969999, +91 9948874666",
Hotel Veg Park,Basheer Bagh,"H-3-6-354, Below Fly Over, Basheer Bagh, Hyderabad",₹500,10:30 AM to 11 PM,3.6,"North Indian, South Indian, Chinese",+91 9154756164,
Mehfil,Narayanguda,"Near Narayanguda Flyover, Narayanguda, Hyderabad",₹150,7 AM to 11 PM,3.3,"Biryani, North Indian, Chinese","040 64640121, +91 9573869495",
Maharaja Chat,Madhapur,"Near Home Mart, Kavuri Hills, Madhapur, Hyderabad","₹1,200",10:30 AM to 10:30 PM,3.5,Street Food,+91 9440834152,
Seventh Heaven,Panjagutta,"6-3-833, 1st & 7th Floor, Venkata Plaza, Panjagutta, Hyderabad",₹500,7 AM to 11 PM,3.4,"Chinese, Andhra, North Indian","040 66668833, 040 66668822","Valet Parking Available, Outdoor Seating, Smoking Area, Live Sports Screening"
China Town,A S Rao Nagar,"Plot 1-280/A, Manikanta Plaza, Lane Beside Axis Bank, Hi Tension Road, A S Rao Nagar, Secunderabad",₹200,9 AM to 1 AM,3.8,"Chinese, North Indian","040 40048800, +91 9701926446",
Tibbs Frankie,Begumpet,"White House Building, Greenlands Road, Kundan Bagh Colony, Begumpet, Hyderabad","₹2,000",7 AM to 10:45 PM,2.3,Street Food,+91 9246878121,
Cayenne - Mercure Hyderabad KCP,Banjara Hills,"Mercure Hyderabad KCP, 6-3-551, Erramanjil, Banjara Hills, Hyderabad",₹80,"12 Noon to 4 PM, 7:30 PM to 10:30 PM",3.6,"North Indian, South Indian, Continental, Italian, Asian","040 67888860, 040 67888888","Valet Parking Available, Smoking Area, Wifi, 4/5 Star, Free Parking, Luxury Dining, Buffet"
Delicious Dosa,Dilsukhnagar,"Plot 8-82/2, Konark Theatre Lane, P&T Colony, Dilsukhnagar, Hyderabad",₹500,9 AM to 10 PM,3.7,South Indian,+91 8019571817,
Being Hungry,Madhapur,"60  Feet Road, Ayyappa Society, Madhapur, Hyderabad",₹350,10:30 AM to 11 PM,3.8,"North Indian, Chinese, Biryani",081 42622022,
Ankapur Village Military Hotel,Hafeezpet,"Pipeline Road, Near Indu Fortune Fields Gardenia Apartments, Hafeezpet, Hyderabad",₹150,7 AM to 11 PM,3.3,"South Indian, Biryani","+91 9885093317, +91 9949029814",Outdoor Seating
Tamil Nadu Hotel,Kondapur,"Lane Adjacent to Suguna Chicken, Towards Kondapur Bus Depot, Kondapur, Hyderabad",₹250,10 AM to 9 PM,2.7,South Indian,+91 9866458662,
Bakers Inn,Gachibowli,"Beside Hdfc Bank ,main Road Vinayaka Nagar, Gachibowli, Hyderabad","₹1,600","12 Noon to 4 PM, 7 PM to 11 PM",3.9,"Bakery, Desserts, Fast Food",+91 9640844425,Desserts and Bakes
Ohri's Outswinger - Hotel Baseraa,S D Road,"Hotel Baseraa, 1-9-67/168, S D Road, Secunderabad",₹700,10:30 AM to 10:30 PM,2.7,"North Indian, Chinese","040 27703200, +91 9866184800",Valet Parking Available
Bikanerwala,Basheer Bagh,"3-5-822/5, Hyderguda Road, Gun Foundry, Basheer Bagh, Hyderabad",₹600,11 AM to 10 PM,3.3,"North Indian, Street Food, South Indian, Chinese, Mithai",040 66561111,Desserts and Bakes
Pepper Jack,Gachibowli,"Opposite Madhapur Traffic Police Station, Gachibowli, Hyderabad",₹150,10:30 AM to 10 PM,3.6,"Pizza, Fast Food","040 65819090, 040 65919090",
Balaji Mahesh Mithai Bhandar,Banjara Hills,"Ground Floor, FK Regency,beside SBH,Road 1, Banjara Hills, Hyderabad","₹1,300","12:30 PM to 3:30 PM, 7 PM to 11 PM",3.9,"Desserts, Street Food","+91 7416223319, 040 65575489",Desserts and Bakes
Xtreme Sports Bar,Hitech City,"66, Opposite TATA Motors, Cyber Towers to KPHB Road, Hitech City, Hyderabad",₹500,11 AM to 11 PM,3.6,"Finger Food, North Indian, Fast Food","+91 7702303303, 040 65864999","Wifi, Nightlife"
Hotel Sweekar,Kacheguda,"Opposite Big Bazaar, 3-3-11, Cross Road, Kacheguda, Hyderabad",₹600,6 AM to 11 PM,3.5,"South Indian, North Indian, Chinese",+91 8019632378,
NYPFC Hangout,Tarnaka,"12-3-85-88, Near Hotel Sanman, Beside Tarnaka Flyover, Tarnaka, Hyderabad",₹350,"11:30 AM to 3:30 PM, 7:30 PM to 3 AM (Mon-Sun)",2.6,"Fast Food, Pizza","040 65558818, +91 9032888868",Wifi
Mysore Express,Marredpally,"221, Bolton Road, Lamba Estate, Tivoli Cinema Hall, Marredpally, Secunderabad",₹500,5 PM to 11 PM,3.5,"South Indian, Street Food","040 27812381, +91 9391050810",
Delhi Zaika,Kondapur,"Opposite RTO Office, Kondapur, Hyderabad","₹1,300",10 AM to 10 PM,3.5,"North Indian, Chinese",,
Sawa Reloaded,Banjara Hills,"8-2-602/D, Opposite Hanging Gardens, Road 10, Banjara Hills, Hyderabad",₹500,11 AM to 11 PM,3.1,"Chinese, Continental, Cafe","+91 9010199992, 040 64646515","Live Sports Screening, Wifi, Live Entertainment, Rooftop, Outdoor Seating"
Taj Mahal Express - Taj Mahal Hotel,Abids,"Taj Mahal Hotel, 4-1-999, Abids Road, Abids, Hyderabad",₹350,11 AM to 11 PM,3.8,"North Indian, Fast Food","040 66120606, 040 24758250",Outdoor Seating
Punjabi 'N' Rajasthani Thali & Food Station,Ameerpet,"1st Floor, Babu Bhavan, Besides MCH Ground, DK Road, Ameerpet, Hyderabad",₹300,9 AM to 10 PM,3.6,"North Indian, Rajasthani","+91 9959273333, +91 9959213333",
Tipsy Topsy Bakers,Dilsukhnagar,"Beside Tirumala Music Center, Dilsukhnagar, Hyderabad",₹300,11 AM to 11 PM,2.6,"Bakery, Street Food, Chinese","040 66733965, +91 8686089444",Desserts and Bakes
Bombay Juice,Koti,"Krishna Ashray Building, Hanuman Tekdi, Sultaan Bazaar, Koti, Hyderabad",₹850,11 AM to 11 PM,3.5,"Juices, Fast Food, Street Food","+91 9849452344, +91 9032252344",Outdoor Seating
Hotel Sitara Royal,Koti,"4-3-302 To 308, Bank Street, Koti, Hyderabad",₹250,"10:30 AM to 3:30 PM, 6:30 PM to 10 PM",3.2,"North Indian, Chinese, Biryani","040 66661981, 040 66661983",Buffet
Keshav Reddy Sweets,Madhapur,"Hitech City Road, Madhapur, Hyderabad",₹850,3 PM to 1 AM,3.5,"Desserts, Fast Food, Street Food","040 66139612, +91 9246589612",Desserts and Bakes
Deccan Restaurant,Somajiguda,"Shop 18, Amrutha Mall, Opposite GRT Jewelers, Raj Bhavan Road, Somajiguda, Hyderabad",₹550,"Closed (Mon),8 AM to 4 PM, 7 PM to 11 PM (Tue-Sun)",3.6,"North Indian, Chinese","040 42006000, 040 64648484",
Pista House,Tolichowki,"Opposite R.T.A Office, Yousuf Tekri Complex, Tolichowki, Hyderabad",₹350,10 AM to 11 PM,3.5,"Hyderabadi, Bakery",+91 9396500786,"Desserts and Bakes, Outdoor Seating"
Chopsticks,Tarnaka,"Beside St Anthony Church, Shanti Nivas Apartments, Mettuguda, Tarnaka, Hyderabad",₹700,7 AM to 2 AM,3.6,Chinese,"+91 9849833382, +91 9247769074",
Organic Bites,Banjara Hills,"8-2-334/14, Road 3, Banjara Hills, Hyderabad",₹650,11 AM to 11 PM,3.4,"North Indian, South Indian","040 60506655, +91 9533137271",Outdoor Seating
Shudh Desi,Gachibowli,"Plot 65A, Near DLF, Gachibowli, Hyderabad",₹600,11 AM to 11 PM,4.0,"North Indian, Chinese","+91 9949623741, +91 8897077788",
Pepper Jack,Manikonda,"O.U Colony, Shaikpet, Manikonda, Hyderabad",₹200,"6 AM to 10 PM (Mon-Sat), 6:30 AM to 3 PM (Sun)",3.9,"Pizza, Fast Food","040 69909090, 040 69906060",
Paradise Bakery,Paradise Circle,"Paradise X Road, Paradise Circle, Secunderabad",₹400,7:30 AM to 12:30 AM,3.6,"Bakery, Desserts, Street Food",040 66313720,Desserts and Bakes
Khaanagiri,Gachibowli,"Near Gachibowli Circle, Gachibowli, Hyderabad",₹450,9 AM to 11 PM,2.6,"North Indian, South Indian",+91 9100491250,
New Hi Tech Bawarchi,Kondapur,"Opposite Harsha Toyota Show Room, RR District, Kondapur, Hyderabad","₹2,000",11 AM to 10 PM,3.5,"Biryani, North Indian, Chinese",,Zomato Fulfilled Delivery
Slounge - Lemon Tree Premier,Hitech City,"Lemon Tree Premier, Plot 2, Survey 64, Hitech City, Hyderabad",₹550,10 AM to 10 PM,3.7,Finger Food,040 33165165,"Wifi, Nightlife"
Kaafo,Yapral,"Plot 40, Sri Krish Enclave, Opposite Michael's Horse Riding Club, Yapral, Secunderabad",₹850,11 AM to 11 PM,3.4,Cafe,+91 9985457710,"Live Music, Outdoor Seating, Pet Friendly, Smoking Area, Wifi, Live Sports Screening"
Aahar Restaurant,Alwal,"Plot 11 & 12, Near Indira Gandhi Statue, Laxmi Nagar, Old Alwal, Alwal, Secunderabad",₹600,"7:30 AM to 11 AM, 12:40 PM to 2:30 PM, 7:30 PM to 10:30 PM",3.6,"North Indian, Chinese","040 27974444, 040 27976666",Valet Parking Available
Rock Deal Restaurant & Bar,Gachibowli,"2-37/123, 3rd Floor Near Hdfc Bank Vinayak Nagar, Gachibowli, Hyderabad",₹550,11:45 AM to 10:30 PM,3.5,"Finger Food, North Indian",040 33165233,"Smoking Area, Wifi"
Waffle House,S P Road,"1-8-303/32/9/A, Dillu Apartments, Opposite Police Hockey Stadium, S P Road, Secunderabad",₹600,12 Noon to 10 PM,4.0,"Cafe, Desserts",040 33165292,"Outdoor Seating, All Day Breakfast, Desserts and Bakes"
Spicy Hub,Kothapet,"11-13-194/1/C, R K Puram, Near Rythu Bazar, Rangareddy District, Kothapet, Hyderabad",₹800,12 Noon to 11 PM,3.4,"Chinese, Seafood, North Indian",040 33165254,
Haagen-Dazs,Hitech City,"46/B, Level 2, Inorbit Mall, Hitech City, Hyderabad",₹450,11 AM to 12 Midnight,2.2,Ice Cream,"040 67467668, +91 9010147700",Desserts and Bakes
Dolphin Biryani House,Malkajgiri,"5-35/1, Malkajgiri Bus Stop, Malkajgiri, Secunderabad",₹850,9 AM to 11:30 PM,2.6,"Biryani, North Indian, Chinese","00 64559765, +91 9985061765",
Saranggi Vegetarian Restaurant,PG Road,"1-8-303-29, Om Towers, PG Road, Secunderabad",₹350,11 AM to 11 PM,2.5,"North Indian, Chinese","040 66324999, 040 64640200",Serves Jain Food
Pariwar Eatery,Gachibowli,"HIG 21A, Opposite DLF Towers, APHB Colony, Gachibowli, Hyderabad",₹200,10 AM to 11 PM,2.3,"North Indian, Chinese",+91 9394404567,
Breaking Bread,Gachibowli,"Tejasree Enclave, Gachibowli Village Street No. 1, Gachibowli, Gachibowli, Hyderabad",₹250,6 AM to 10:30 PM,3.5,"North Indian, South Indian, Continental",+91 9100939496,
Ibaco,Kacheguda,"6, 3-U0851/G, MS Associates, Barkatpura, Kacheguda, Hyderabad",₹200,10 AM to 2 AM,3.7,"Ice Cream, Desserts",+91 9866219187,Desserts and Bakes
Sri Balaji Dosa House,PG Road,"Opposite Kiran Clinic Hospital, Sindhi Colony, PG Road, Secunderabad",₹450,12 Noon to 12 Midnight,3.6,South Indian,"+91 9133079735, +91 7097206066",
Melting Pot,Gachibowli,"Food Court, Kapil Towers, Opposite ICICI Bank, Nanakramguda, Gachibowli, Hyderabad",₹450,12:30 PM to 10:30 PM,2.5,"North Indian, Chinese","040 67045000, +91 8019405000",
Papadams,L B Nagar,"Plot 25, Rock Town Colony, Mansoorabad, L B Nagar, Hyderabad",₹200,11 AM to 10:30 PM,3.6,"North Indian, Chinese, Biryani","+91 9000993381, 040 64612671",Vegetarian Friendly
Rahul Tiffin & Fast Food Centre,Himayath Nagar,"3-6-20/12-13, Tirumala Apartments, Near Vijaya Diagnostic Centre, Street 19, Himayath Nagar, Hyderabad","₹1,100",12 Noon to 12 Midnight,3.3,South Indian,040 64559581,Outdoor Seating
Flavours - Best Western Jubilee Ridge,Madhapur,"38 & 39,  Kavuri Hills, Road 36 Extension, Madhapur, Hyderabad",₹450,4 PM to 1 AM,2.8,"North Indian, Chinese, South Indian","+91 8008300376, 040 45679999","Wifi, Buffet"
Daffodils Cafe,Amberpet,"Opposite Shivam Bus Stop, Shivam Road, Amberpet, Hyderabad",₹750,10:30 AM to 10:30 PM,2.7,"Cafe, Fast Food",040 64581807,"Outdoor Seating, Valet Parking Available"
Swaadh,Hitech City,"4th Floor, Food Court, Inorbit Mall, Hitech City, Hyderabad",₹200,"11:30 AM to 4 PM, 7:30 PM to 11:15 PM",3.5,"North Indian, Andhra, South Indian, Chinese","040 65656562, 040 65656563",
Cane Xpress,Kukatpally,"Near Sirimalle Exclusive, Phase 6, KPHB, Kukatpally, Hyderabad",₹750,"12 Noon to 5 PM, 7 PM to 10:30 PM",3.6,"Beverages, Juices",+91 9246471493,
Hotel Tulips Grand,Uppal,"Near Uppal Depot, Medipally, Boduppal, Uppal, Secunderabad","₹1,100",7 AM to 11 PM,3.5,"North Indian, South Indian, Chinese",040 33165097,"Valet Parking Available, Live Sports Screening"
Salzburg Street - Amrutha Castle,Khairatabad,"Amrutha Castle, 5-9-16, Opposite Secretariat, Saifabad, Khairatabad, Hyderabad",₹800,"12 Noon to 3:30 PM, 7 PM to 10:30 PM",3.8,"North Indian, South Indian, Chinese, Continental",040 44433888,"Wifi, Buffet"
Surabhi Elite,Kothapet,"11-13-196/5/A&B, Beside Ozone Hospital, Green Hills Colony, Kothapet, Hyderabad",₹350,5 AM to 11 PM,4.0,"North Indian, Chinese, South Indian","040 21116666, 040 21117777",Wifi
Angaara,Chanda Nagar,"Opposite Bharath Petrol Pump, Gouthami Nagar Colony, Chanda Nagar, Hyderabad",₹950,7:30 AM to 11:30 PM,3.5,"North Indian, Mughlai, Biryani","+91 9347577778, +91 9502602679",Outdoor Seating
Food Nation Food Court,Manikonda,"8/199/2, High Mark Chambers Building, Near Raidurg Police Station, Manikonda, Hyderabad",₹350,"12 Midnight to 1 AM, 8 AM to 12 Midnight",3.6,"Chinese, North Indian, Seafood, Biryani","040 65142143, +91 8712142143",
Al Saud Bait Al Mandi,Koti,"Beside St. Joseph Public School, King Koti, Koti, Hyderabad",₹600,10 AM to 11 PM,2.5,Arabian,+91 9700556433,
,,"Shop 1-C, FS 6, Ground Floor, Amrutha Ville, Opposite Yashodha Hospital, Raj Bhavan Road, Somajiguda, Hyderabad",₹250,11 AM to 11 PM,3.4,"Fast Food, Desserts",,
4M Biryani House,Musheerabad,"Opposite Humera Hotel, Badi Masjid, Bholakpur, Musheerabad, Hyderabad",₹800,"6:30 AM to 12:30 PM, 6:30 PM to 9:30 PM (Mon-Sat), 6:30 AM to 12 Noon (Sun)",2.6,"Biryani, Hyderabadi",040 65578636,
US Pizza,Adikmet,"B7, 81, Vignanpuri Colony, OU Road, Vidyanagar, Adikmet, Hyderabad",₹150,7 AM to 10:30 PM,4.1,"Pizza, Fast Food","040 65242200, 040 32211322","Outdoor Seating, Wifi"
Hotel Udipi Home,S R Nagar,"Below Haindavi Degree College, Opposite SBH, S R Nagar, Hyderabad",₹950,11 AM to 11 PM,2.3,South Indian,040 66626011,
The Earth,Jubilee Hills,"5th Floor,789, Jubilee Towers, Road 36, Jubilee Hills, Hyderabad",₹200,11 AM to 11 PM,3.7,"Cafe, Chinese","+91 8186885588, +91 8374733230","Live Music, Wifi, Rooftop, Valet Parking Available, Smoking Area, Live Sports Screening"
Donut Delights,Madhapur,"Metro Pillar 8, Hitech Main Road, Towards Cyber Towers, Near Image Hospital, Madhapur, Hyderabad",₹350,5 PM to 2 AM,3.8,Desserts,"+91 9701420206, +91 9100031282","Desserts and Bakes, Wifi"
